"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 05- 14","3,178.75","3,248.37","3,257.39","3,167.95","","-2.15%"
"2025- 05- 13","3,248.47","3,233.40","3,265.44","3,215.96","","0.43%"
"2025- 05- 12","3,234.70","3,324.98","3,325.42","3,207.67","","-2.70%"
"2025- 05- 09","3,324.63","3,305.51","3,347.64","3,274.94","","0.58%"
"2025- 05- 08","3,305.52","3,366.95","3,414.96","3,288.80","","-1.77%"
"2025- 05- 07","3,365.21","3,430.21","3,438.59","3,360.20","","-1.89%"
"2025- 05- 06","3,430.21","3,336.39","3,435.17","3,322.98","","2.87%"
"2025- 05- 05","3,334.50","3,240.00","3,337.81","3,237.81","","2.89%"
"2025- 05- 02","3,240.88","3,238.55","3,269.49","3,222.75","","0.00%"
"2025- 05- 01","3,241.00","3,288.55","3,290.94","3,202.09","","-1.45%"
"2025- 04- 30","3,288.59","3,316.92","3,328.36","3,267.09","","-0.86%"
"2025- 04- 29","3,317.18","3,341.67","3,349.08","3,299.23","","-0.73%"
"2025- 04- 28","3,341.67","3,328.40","3,353.33","3,267.81","","0.67%"
"2025- 04- 25","3,319.45","3,347.20","3,371.15","3,265.25","","-0.89%"
"2025- 04- 24","3,349.10","3,288.43","3,367.59","3,287.77","","1.85%"
"2025- 04- 23","3,288.26","3,382.55","3,386.89","3,260.50","","-2.79%"
"2025- 04- 22","3,382.54","3,421.57","3,500.33","3,366.74","","-1.22%"
"2025- 04- 21","3,424.30","3,334.41","3,430.93","3,327.82","","2.91%"
"2025- 04- 17","3,327.54","3,344.41","3,358.00","3,283.87","","-0.47%"
"2025- 04- 16","3,343.22","3,226.25","3,345.19","3,226.25","121.32K","3.58%"
"2025- 04- 15","3,227.60","3,210.21","3,234.16","3,209.36","121.32K","0.57%"
"2025- 04- 14","3,209.28","3,237.35","3,245.84","3,193.41","","-0.83%"
"2025- 04- 11","3,236.21","3,174.14","3,245.69","3,174.14","","1.96%"
"2025- 04- 10","3,173.92","3,083.75","3,176.94","3,071.03","","2.98%"
"2025- 04- 09","3,082.18","2,984.08","3,099.87","2,970.01","","3.30%"
"2025- 04- 08","2,983.78","2,983.39","3,022.84","2,974.45","","0.04%"
"2025- 04- 07","2,982.54","3,038.02","3,055.88","2,956.60","","-1.80%"
"2025- 04- 04","3,037.36","3,113.16","3,137.10","3,015.64","","-2.42%"
"2025- 04- 03","3,112.83","3,134.16","3,168.04","3,054.19","","-0.66%"
"2025- 04- 02","3,133.57","3,111.00","3,140.36","3,104.81","","0.74%"
"2025- 04- 01","3,110.55","3,123.36","3,149.11","3,100.85","","-0.40%"
"2025- 03- 31","3,123.05","3,086.54","3,128.29","3,076.62","","1.27%"
"2025- 03- 28","3,084.03","3,056.35","3,086.93","3,053.91","","0.91%"
"2025- 03- 27","3,056.10","3,019.56","3,059.75","3,017.26","","1.22%"
"2025- 03- 26","3,019.29","3,020.13","3,032.23","3,012.38","","-0.02%"
"2025- 03- 25","3,019.85","3,012.40","3,035.94","3,007.53","","0.25%"
"2025- 03- 24","3,012.27","3,023.03","3,033.44","3,002.34","","-0.38%"
"2025- 03- 21","3,023.63","3,042.60","3,047.66","2,999.46","","-0.68%"
"2025- 03- 20","3,044.41","3,046.31","3,057.51","3,025.56","","-0.09%"
"2025- 03- 19","3,047.18","3,032.20","3,052.30","3,022.73","","0.44%"
"2025- 03- 18","3,033.95","2,999.11","3,038.45","2,999.11","","1.08%"
"2025- 03- 17","3,001.47","2,985.80","3,002.23","2,982.13","","0.57%"
"2025- 03- 14","2,984.42","2,988.38","3,005.08","2,978.41","","-0.11%"
"2025- 03- 13","2,987.75","2,932.66","2,989.64","2,932.03","","1.90%"
"2025- 03- 12","2,932.06","2,916.85","2,940.83","2,906.19","","0.55%"
"2025- 03- 11","2,916.04","2,888.72","2,922.22","2,880.34","","0.92%"
"2025- 03- 10","2,889.40","2,912.17","2,918.50","2,880.30","","-0.73%"
"2025- 03- 07","2,910.79","2,910.48","2,930.56","2,896.71","","0.03%"
"2025- 03- 06","2,909.99","2,918.98","2,926.88","2,891.34","","-0.30%"
"2025- 03- 05","2,918.84","2,917.59","2,929.94","2,894.19","","0.05%"
"2025- 03- 04","2,917.49","2,894.05","2,928.15","2,881.81","","0.82%"
"2025- 03- 03","2,893.71","2,856.71","2,895.45","2,855.63","","1.23%"
"2025- 02- 28","2,858.60","2,877.66","2,885.34","2,832.63","","-0.61%"
"2025- 02- 27","2,876.19","2,916.80","2,920.96","2,867.86","","-1.37%"
"2025- 02- 26","2,916.19","2,915.42","2,930.22","2,890.99","","0.04%"
"2025- 02- 25","2,915.12","2,951.82","2,954.44","2,888.06","","-1.22%"
"2025- 02- 24","2,951.19","2,936.41","2,956.37","2,920.77","","0.52%"
"2025- 02- 21","2,936.03","2,939.00","2,950.01","2,916.70","","-0.09%"
"2025- 02- 20","2,938.70","2,932.81","2,954.97","2,924.20","","0.21%"
"2025- 02- 19","2,932.64","2,935.73","2,947.23","2,918.50","","-0.10%"
"2025- 02- 18","2,935.58","2,897.51","2,937.46","2,891.94","","1.31%"
"2025- 02- 17","2,897.66","2,883.55","2,906.69","2,887.20","","0.50%"
"2025- 02- 14","2,883.18","2,929.19","2,940.23","2,876.96","","-1.57%"
"2025- 02- 13","2,929.03","2,904.10","2,929.74","2,900.20","","0.87%"
"2025- 02- 12","2,903.66","2,898.90","2,909.16","2,864.01","","0.18%"
"2025- 02- 11","2,898.34","2,907.47","2,943.25","2,881.76","","-0.31%"
"2025- 02- 10","2,907.34","2,864.08","2,911.60","2,854.69","","1.64%"
"2025- 02- 07","2,860.39","2,856.60","2,886.96","2,852.55","","0.14%"
"2025- 02- 06","2,856.50","2,865.26","2,873.74","2,834.40","","-0.30%"
"2025- 02- 05","2,865.09","2,842.06","2,882.53","2,839.32","","0.81%"
"2025- 02- 04","2,841.94","2,814.80","2,845.57","2,806.90","","1.01%"
"2025- 02- 03","2,813.49","2,801.40","2,831.70","2,771.69","","0.45%"
"2025- 01- 31","2,801.00","2,794.04","2,817.57","2,790.78","","0.25%"
"2025- 01- 30","2,793.88","2,757.90","2,798.80","2,757.24","","1.31%"
"2025- 01- 29","2,757.71","2,763.48","2,766.53","2,744.71","","-0.20%"
"2025- 01- 28","2,763.11","2,742.57","2,765.18","2,734.68","","0.80%"
"2025- 01- 27","2,741.10","2,770.70","2,773.02","2,729.80","","-1.09%"
"2025- 01- 24","2,771.30","2,754.06","2,786.04","2,752.56","","0.64%"
"2025- 01- 23","2,753.69","2,755.96","2,759.06","2,735.85","","-0.05%"
"2025- 01- 22","2,755.02","2,745.08","2,763.72","2,741.83","121.32K","0.39%"
"2025- 01- 21","2,744.39","2,709.01","2,746.88","2,702.49","121.32K","1.34%"
"2025- 01- 20","2,708.06","2,702.51","2,714.40","2,689.32","121.32K","0.24%"
"2025- 01- 17","2,701.55","2,713.85","2,717.73","2,698.41","121.32K","-0.45%"
"2025- 01- 16","2,713.77","2,695.96","2,724.86","2,690.00","121.32K","0.67%"
"2025- 01- 15","2,695.82","2,677.29","2,697.85","2,669.04","121.32K","0.70%"
"2025- 01- 14","2,677.16","2,662.53","2,678.44","2,659.79","121.32K","0.56%"
"2025- 01- 13","2,662.12","2,689.35","2,693.77","2,656.73","121.32K","-1.02%"
"2025- 01- 10","2,689.63","2,670.74","2,698.57","2,663.65","121.32K","0.73%"
"2025- 01- 09","2,670.19","2,662.20","2,675.42","2,662.35","121.32K","0.31%"
"2025- 01- 08","2,662.06","2,649.85","2,670.60","2,645.03","121.32K","0.47%"
"2025- 01- 07","2,649.49","2,636.02","2,664.54","2,632.57","","0.54%"
"2025- 01- 06","2,635.33","2,641.00","2,649.62","2,614.60","","-0.14%"
"2025- 01- 03","2,639.12","2,657.29","2,665.47","2,636.40","","-0.68%"
"2025- 01- 02","2,657.16","2,626.60","2,660.85","2,621.51","","1.27%"
"2024- 12- 31","2,623.81","2,606.13","2,627.85","2,602.50","","0.71%"
"2024- 12- 30","2,605.39","2,620.30","2,628.61","2,595.90","","-0.56%"
"2024- 12- 27","2,620.00","2,634.59","2,638.74","2,611.30","","-0.55%"
"2024- 12- 26","2,634.43","2,619.79","2,639.40","2,614.13","","0.81%"
"2024- 12- 24","2,613.20","2,613.07","2,621.83","2,609.92","","0.01%"
"2024- 12- 23","2,612.93","2,622.24","2,633.60","2,607.97","","-0.30%"
"2024- 12- 20","2,620.77","2,593.97","2,631.92","2,589.56","","1.04%"
"2024- 12- 19","2,593.85","2,587.87","2,626.73","2,583.49","","0.24%"
"2024- 12- 18","2,587.63","2,645.68","2,652.08","2,586.52","","-2.19%"
"2024- 12- 17","2,645.54","2,652.63","2,659.22","2,633.00","","-0.26%"
"2024- 12- 16","2,652.50","2,649.10","2,664.83","2,643.34","","0.16%"
"2024- 12- 13","2,648.39","2,681.47","2,693.02","2,645.90","","-1.23%"
"2024- 12- 12","2,681.33","2,718.07","2,726.31","2,675.04","","-1.35%"
"2024- 12- 11","2,717.93","2,693.76","2,721.35","2,674.58","","0.90%"
"2024- 12- 10","2,693.64","2,658.82","2,695.79","2,657.95","","1.31%"
"2024- 12- 09","2,658.78","2,635.52","2,676.52","2,627.47","","0.98%"
"2024- 12- 06","2,632.91","2,632.18","2,645.69","2,613.57","","0.03%"
"2024- 12- 05","2,632.05","2,649.92","2,655.62","2,623.55","","-0.67%"
"2024- 12- 04","2,649.79","2,643.57","2,657.36","2,632.50","","0.24%"
"2024- 12- 03","2,643.44","2,639.05","2,655.71","2,634.12","121.32K","0.17%"
"2024- 12- 02","2,638.93","2,653.82","2,656.21","2,621.90","","-0.55%"
"2024- 11- 29","2,653.55","2,641.20","2,666.35","2,634.11","","0.48%"
"2024- 11- 28","2,640.96","2,635.74","2,650.12","2,620.95","","0.21%"
"2024- 11- 27","2,635.51","2,632.16","2,658.40","2,627.06","","0.14%"
"2024- 11- 26","2,631.89","2,625.38","2,642.05","2,605.29","","0.25%"
"2024- 11- 25","2,625.26","2,715.10","2,721.43","2,615.70","","-3.22%"
"2024- 11- 22","2,712.55","2,669.84","2,712.91","2,667.38","","1.61%"
"2024- 11- 21","2,669.69","2,650.19","2,673.86","2,647.95","","0.74%"
"2024- 11- 20","2,650.05","2,631.80","2,655.50","2,618.70","","0.70%"
"2024- 11- 19","2,631.68","2,612.29","2,639.69","2,610.25","","0.75%"
"2024- 11- 18","2,612.20","2,561.59","2,615.17","2,561.59","","1.99%"
"2024- 11- 15","2,561.24","2,566.54","2,576.09","2,554.58","","-0.19%"
"2024- 11- 14","2,566.19","2,573.91","2,581.61","2,536.91","","-0.29%"
"2024- 11- 13","2,573.78","2,597.41","2,618.97","2,573.00","","-0.90%"
"2024- 11- 12","2,597.27","2,620.31","2,627.24","2,589.79","","-0.88%"
"2024- 11- 11","2,620.20","2,684.81","2,686.51","2,610.62","","-2.37%"
"2024- 11- 08","2,683.77","2,707.37","2,710.51","2,680.36","","-0.86%"
"2024- 11- 07","2,706.99","2,659.36","2,710.20","2,643.50","","1.80%"
"2024- 11- 06","2,659.24","2,743.88","2,749.80","2,652.44","","-3.07%"
"2024- 11- 05","2,743.59","2,736.58","2,750.06","2,724.75","","0.26%"
"2024- 11- 04","2,736.39","2,734.10","2,748.30","2,729.78","","0.05%"
"2024- 11- 01","2,735.16","2,742.50","2,762.29","2,733.20","","-0.32%"
"2024- 10- 31","2,743.80","2,787.75","2,790.41","2,731.65","","-1.52%"
"2024- 10- 30","2,786.19","2,775.01","2,790.09","2,770.65","","0.40%"
"2024- 10- 29","2,775.13","2,743.70","2,775.89","2,739.82","","1.21%"
"2024- 10- 28","2,741.98","2,734.84","2,746.06","2,724.72","","-0.21%"
"2024- 10- 25","2,747.69","2,736.10","2,747.97","2,716.97","","0.44%"
"2024- 10- 24","2,735.70","2,717.99","2,743.38","2,715.72","","0.67%"
"2024- 10- 23","2,717.54","2,749.52","2,758.53","2,708.79","","-1.12%"
"2024- 10- 22","2,748.38","2,720.00","2,749.47","2,718.93","","1.06%"
"2024- 10- 21","2,719.65","2,721.71","2,740.61","2,714.23","","-0.02%"
"2024- 10- 18","2,720.25","2,692.41","2,722.87","2,691.48","","1.03%"
"2024- 10- 17","2,692.55","2,674.05","2,696.80","2,673.00","","0.72%"
"2024- 10- 16","2,673.24","2,663.00","2,685.73","2,658.71","","0.46%"
"2024- 10- 15","2,660.99","2,651.75","2,669.07","2,638.31","","0.37%"
"2024- 10- 14","2,651.05","2,657.21","2,666.94","2,643.16","","-0.19%"
"2024- 10- 11","2,656.00","2,630.80","2,661.55","2,627.65","","1.01%"
"2024- 10- 10","2,629.48","2,608.14","2,631.63","2,604.15","","0.83%"
"2024- 10- 09","2,607.77","2,620.19","2,624.65","2,605.18","","-0.54%"
"2024- 10- 08","2,621.94","2,643.50","2,653.09","2,604.79","","-0.82%"
"2024- 10- 07","2,643.58","2,651.20","2,659.91","2,637.70","","-0.33%"
"2024- 10- 04","2,652.25","2,654.39","2,670.15","2,632.00","","-0.14%"
"2024- 10- 03","2,655.90","2,658.66","2,663.40","2,639.73","","-0.07%"
"2024- 10- 02","2,657.75","2,661.15","2,663.85","2,641.18","","-0.19%"
"2024- 10- 01","2,662.82","2,635.41","2,673.20","2,631.98","","1.08%"
"2024- 09- 30","2,634.49","2,658.30","2,666.11","2,624.78","","-0.88%"
"2024- 09- 27","2,657.97","2,669.50","2,674.40","2,643.15","","-0.46%"
"2024- 09- 26","2,670.20","2,657.32","2,685.96","2,654.56","","0.50%"
"2024- 09- 25","2,656.82","2,655.90","2,670.60","2,649.84","","0.00%"
"2024- 09- 24","2,656.70","2,628.92","2,664.47","2,622.58","","1.08%"
"2024- 09- 23","2,628.40","2,621.81","2,635.54","2,613.60","","0.25%"
"2024- 09- 20","2,621.96","2,587.50","2,625.79","2,584.81","","1.37%"
"2024- 09- 19","2,586.48","2,559.07","2,594.89","2,551.26","","1.08%"
"2024- 09- 18","2,558.80","2,571.73","2,600.21","2,546.98","","-0.42%"
"2024- 09- 17","2,569.52","2,582.46","2,587.01","2,560.84","","-0.51%"
"2024- 09- 16","2,582.58","2,578.06","2,589.78","2,575.40","","0.24%"
"2024- 09- 13","2,576.50","2,556.52","2,586.18","2,556.52","","0.69%"
"2024- 09- 12","2,558.75","2,512.02","2,560.21","2,511.02","","1.88%"
"2024- 09- 11","2,511.44","2,515.70","2,529.40","2,501.01","","-0.19%"
"2024- 09- 10","2,516.12","2,506.84","2,518.57","2,500.16","","0.43%"
"2024- 09- 09","2,505.25","2,497.32","2,507.42","2,485.60","","0.33%"
"2024- 09- 06","2,497.03","2,516.90","2,529.30","2,485.15","","-0.77%"
"2024- 09- 05","2,516.32","2,495.50","2,523.54","2,493.76","","0.89%"
"2024- 09- 04","2,494.19","2,492.94","2,500.20","2,471.95","","0.06%"
"2024- 09- 03","2,492.76","2,500.50","2,506.44","2,473.25","","-0.26%"
"2024- 09- 02","2,499.29","2,502.74","2,507.50","2,490.14","","-0.15%"
"2024- 08- 30","2,503.03","2,520.89","2,527.07","2,494.36","","-0.72%"
"2024- 08- 29","2,521.18","2,504.65","2,528.77","2,503.65","","0.76%"
"2024- 08- 28","2,502.25","2,522.74","2,529.15","2,493.66","","-0.88%"
"2024- 08- 27","2,524.57","2,518.30","2,526.27","2,503.41","","0.31%"
"2024- 08- 26","2,516.89","2,511.43","2,527.76","2,508.71","","0.19%"
"2024- 08- 23","2,512.07","2,482.20","2,518.45","2,481.20","","1.16%"
"2024- 08- 22","2,483.29","2,512.50","2,514.82","2,470.86","","-1.14%"
"2024- 08- 21","2,511.95","2,512.82","2,520.09","2,494.15","","-0.07%"
"2024- 08- 20","2,513.74","2,501.55","2,532.05","2,497.33","","0.39%"
"2024- 08- 19","2,503.92","2,508.40","2,510.45","2,485.83","","-0.13%"
"2024- 08- 16","2,507.28","2,456.57","2,509.89","2,450.76","","2.08%"
"2024- 08- 15","2,456.10","2,448.15","2,470.25","2,432.19","","0.35%"
"2024- 08- 14","2,447.64","2,467.40","2,478.49","2,438.12","","-0.71%"
"2024- 08- 13","2,465.03","2,472.64","2,477.02","2,458.50","","-0.29%"
"2024- 08- 12","2,472.25","2,431.21","2,473.48","2,423.84","","1.70%"
"2024- 08- 09","2,430.93","2,427.29","2,437.15","2,416.93","","0.17%"
"2024- 08- 08","2,426.75","2,382.43","2,427.80","2,380.70","","1.90%"
"2024- 08- 07","2,381.53","2,389.67","2,407.05","2,379.05","","-0.33%"
"2024- 08- 06","2,389.37","2,410.01","2,418.35","2,381.79","","-0.76%"
"2024- 08- 05","2,407.65","2,443.27","2,458.80","2,364.40","","-1.46%"
"2024- 08- 02","2,443.29","2,445.16","2,477.72","2,410.83","","-0.09%"
"2024- 08- 01","2,445.42","2,448.10","2,462.40","2,430.25","","-0.11%"
"2024- 07- 31","2,448.10","2,410.09","2,451.00","2,410.17","","1.65%"
"2024- 07- 30","2,408.43","2,383.66","2,413.00","2,376.51","","1.04%"
"2024- 07- 29","2,383.54","2,387.20","2,403.23","2,369.77","","-0.09%"
"2024- 07- 26","2,385.57","2,364.30","2,390.82","2,355.89","","0.89%"
"2024- 07- 25","2,364.50","2,398.49","2,401.32","2,353.19","","-1.38%"
"2024- 07- 24","2,397.59","2,408.94","2,432.05","2,396.50","","-0.48%"
"2024- 07- 23","2,409.21","2,396.80","2,412.15","2,388.26","","0.48%"
"2024- 07- 22","2,397.65","2,400.41","2,412.32","2,384.00","","-0.13%"
"2024- 07- 19","2,400.79","2,445.34","2,446.29","2,393.92","","-1.81%"
"2024- 07- 18","2,444.97","2,460.13","2,475.02","2,440.41","","-0.55%"
"2024- 07- 17","2,458.38","2,476.22","2,483.78","2,451.60","","-0.41%"
"2024- 07- 16","2,468.57","2,424.80","2,469.91","2,423.54","","1.92%"
"2024- 07- 15","2,422.07","2,409.50","2,439.74","2,401.35","","0.45%"
"2024- 07- 12","2,411.27","2,416.47","2,418.37","2,391.52","","-0.15%"
"2024- 07- 11","2,414.78","2,371.58","2,424.62","2,370.83","","1.84%"
"2024- 07- 10","2,371.07","2,363.80","2,386.75","2,362.73","","0.32%"
"2024- 07- 09","2,363.58","2,358.60","2,371.52","2,349.59","","0.20%"
"2024- 07- 08","2,358.80","2,391.77","2,391.85","2,351.16","","-1.37%"
"2024- 07- 05","2,391.46","2,358.01","2,393.04","2,354.03","","1.50%"
"2024- 07- 04","2,356.12","2,353.70","2,362.64","2,350.76","","0.00%"
"2024- 07- 03","2,356.06","2,328.00","2,365.06","2,326.93","","1.15%"
"2024- 07- 02","2,329.28","2,332.05","2,336.90","2,319.24","","-0.10%"
"2024- 07- 01","2,331.70","2,326.46","2,338.72","2,318.55","","0.26%"
"2024- 06- 28","2,325.71","2,327.75","2,339.79","2,319.15","","-0.07%"
"2024- 06- 27","2,327.45","2,299.80","2,331.00","2,296.50","","1.29%"
"2024- 06- 26","2,297.91","2,320.00","2,323.95","2,293.70","","-0.91%"
"2024- 06- 25","2,319.01","2,333.25","2,337.26","2,315.56","","-0.60%"
"2024- 06- 24","2,332.93","2,321.60","2,335.02","2,317.37","","0.54%"
"2024- 06- 21","2,320.34","2,360.30","2,368.85","2,316.76","","-1.66%"
"2024- 06- 20","2,359.63","2,329.15","2,365.52","2,327.30","","1.38%"
"2024- 06- 19","2,327.48","2,329.79","2,335.10","2,323.84","","-0.04%"
"2024- 06- 18","2,328.33","2,319.38","2,333.25","2,306.63","","0.41%"
"2024- 06- 17","2,318.87","2,332.20","2,333.48","2,310.02","","-0.59%"
"2024- 06- 14","2,332.52","2,302.52","2,336.87","2,301.35","","1.27%"
"2024- 06- 13","2,303.19","2,325.70","2,326.70","2,295.68","","-0.83%"
"2024- 06- 12","2,322.55","2,315.53","2,341.70","2,310.80","","0.27%"
"2024- 06- 11","2,316.27","2,311.00","2,320.17","2,297.69","","0.25%"
"2024- 06- 10","2,310.60","2,296.00","2,313.87","2,287.31","","0.78%"
"2024- 06- 07","2,292.71","2,376.50","2,387.85","2,286.77","","-3.49%"
"2024- 06- 06","2,375.61","2,355.16","2,378.57","2,353.60","","0.88%"
"2024- 06- 05","2,354.78","2,328.00","2,358.07","2,325.88","","1.16%"
"2024- 06- 04","2,327.68","2,349.00","2,351.76","2,315.53","","-0.96%"
"2024- 06- 03","2,350.35","2,329.61","2,354.82","2,314.76","","1.00%"
"2024- 05- 31","2,326.97","2,345.07","2,353.24","2,323.96","","-0.68%"
"2024- 05- 30","2,343.00","2,339.67","2,351.83","2,322.72","","0.18%"
"2024- 05- 29","2,338.77","2,361.00","2,362.86","2,334.75","","-0.94%"
"2024- 05- 28","2,360.95","2,352.29","2,364.12","2,340.17","","0.43%"
"2024- 05- 27","2,350.74","2,334.50","2,358.56","2,332.36","","0.73%"
"2024- 05- 24","2,333.76","2,328.40","2,347.54","2,325.40","","0.23%"
"2024- 05- 23","2,328.37","2,378.60","2,383.86","2,327.00","","-2.10%"
"2024- 05- 22","2,378.25","2,423.75","2,426.64","2,374.98","","-1.79%"
"2024- 05- 21","2,421.64","2,426.84","2,434.00","2,406.32","","-0.14%"
"2024- 05- 20","2,425.12","2,415.02","2,450.13","2,407.34","","0.42%"
"2024- 05- 17","2,414.89","2,376.81","2,422.87","2,373.96","","1.62%"
"2024- 05- 16","2,376.44","2,386.42","2,397.44","2,371.01","","-0.40%"
"2024- 05- 15","2,386.04","2,358.20","2,390.36","2,351.82","","1.19%"
"2024- 05- 14","2,357.97","2,338.20","2,359.83","2,334.55","","0.94%"
